seller-sku	asin	item-name	price	estimated-referral-fee-per-item
EV-TGZ8-084V	B0785671P8	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, S)	1580.00	237.00
F0-6RN8-7FE6	B07RS9GFCN	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ブルー)	2050.00	308.00
F2-12TH-TN4S	B07RQ5RH2Y	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, グリーン)	2050.00	308.00
F4-DJYL-ZFI7	B07RR6Y96L	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (L, ブルー)	2050.00	308.00
F6-ONE1-992E	B07RN5DNXS	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXXL, ピンク)	2050.00	308.00
F7-VUUV-OD1C	B07SPWQD3T	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (L)	1480.00	222.00
FN-PBNR-8JYV	B07WXP6K11	【Smart-Bear】W105 ガールズ 靴下 子供 キッズ 熊 厚い 暖かい 秋 冬 防寒 靴下 ソックス 女の子 男の子 ウールソックス 5足セット (M:15～18cm(4-6歳))	1180.00	177.00
FN-VIR3-GDHQ	B07RN3R4CY	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)	2050.00	308.00
G3-7VTX-A8HN	B077TZR4R8	【Smart-KM】T001 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	1580.00	237.00
G7-BVYT-AI93	B07RR8Y437	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (M, ブルー)	2180.00	327.00
GC-NI2J-APAG	B07STJT6TQ	【Smart-Bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XXL, ブルー)	2180.00	327.00
GD-JMWR-KLP3	B07STH4C75	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (S, イエロー)	1780.00	267.00
GF-U2DD-UGPU	B07RTMCHRB	【Smart-Bear】W014 可愛い キッズ 子供 靴下 ソックス フォーマル くるぶし ジュニア 通気 メッシュ 5足セット 薄手	899.00	135.00
GG-3VCR-CTG2	B07RQ5DN1M	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, グリーン)	2050.00	308.00
